Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Quantidade de vitimas fatais;Tipo de registro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-10-20 00:00:00;20;10;2019;2019/10;-22,14718733;-49,95263209;RODOVIA SP 333;323;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-05-04 00:00:00;4;5;2023;2023/05;-22,20509037;-49,95778555;RUA BASSAN;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-31 00:00:00;31;7;2022;2022/07;-22,11872085;-49,93025972;RODOVIA SP 333;319;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-06-20 00:00:00;20;6;2022;2022/06;-22,14493994;-49,96759301;RUA JOAO CALIMANI;3033;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-08-23 00:00:00;23;8;2021;2021/08;-22,21771712;-49,94189344;PRESIDENTE ROOSEVELT;10;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-29 00:00:00;29;11;2020;2020/11;-22,0859745;-49,89919376;RODOVIA SP 333;314;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-06-20 00:00:00;20;6;2022;2022/06;-22,21850767;-49,98150347;HERMES DA FONSECA;670;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-05-23 00:00:00;23;5;2024;2024/05;-22,1736928;-49,9716224;AVENIDA REPUBLICA;6128;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-09-11 00:00:00;11;9;2021;2021/09;-22,23684208;-49,97871325;AVENIDA MARIA FERNANDES CAVALARE;1770;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-04-02 00:00:00;2;4;2019;2019/04;-22,17381968;-49,97359702;AVENIDA REPUBLICA;5960;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
