;Id da Delegacia;Número do Bo;Ano do BO;Nome da Delegacia;Data do Sinistro;Dia do Sinistro;Mês do Sinistro;Ano do Sinistro;Ano/Mês do Sinistro;Dia da Semana;Hora do Sinistro;Turno;Município;Região Administrativa;Logradouro;Númeral / KM;Jurisdição;Administração;Conservação;Tipo de local do sinistro;latitude;longitude;Tipo de via;Pedestre envolvido;Automóvel envolvido;Bicicleta envolvida;Caminhão envolvido;Motocicleta envolvida;Ônibus  envolvido;Outros veículos envolvidos;Veículo envolvido não disponível;Tempo entre o Sinistro e o Óbito;Atropelamento;Capotamento;Choque;Colisão frontal;Colisão lateral;Colisão transversal;Colisão traseira;Outras colisões;Engavetamento;Tombamento;Outros sinistros;Quantidade de vítimas fatais;Tipo de Registro
251;80504;10238;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-10-22 00:00:00;22;10;2018;2018/10;SEGUNDA;15;TARDE;MARILIA;MARÍLIA;SP 333;342,859;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,29904147;-50,02275265;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;1;0;0;0;0;0;0;0;1;SINISTRO FATAL
551;100919;9486;2022;CPJ RIBEIRAO PRETO;2022-10-08 00:00:00;8;10;2022;2022/10;SÁBADO;11;MANHA;MARILIA;MARÍLIA;SP 333;305,8;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,03511496;-49,84120373;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;1;0;0;0;1;SINISTRO FATAL
873;80504;4894;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-05-16 00:00:00;16;5;2016;2016/05;SEGUNDA;23;NOITE;MARILIA;MARÍLIA;SP 294;447;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,23158232;-49,93146959;RODOVIAS;1;0;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
882;80504;2490;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-03-11 00:00:00;11;3;2018;2018/03;DOMINGO;20;NOITE;MARILIA;MARÍLIA;SP 294;448,5;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22870059;-49,94646125;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;1;0;0;0;1;SINISTRO FATAL
1316;80504;1007437445;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-10-09 00:00:00;9;10;2023;2023/10;SEGUNDA;20;NOITE;MARILIA;MARÍLIA;AVENIDA PEDRO DE TOLÊDO;2672;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,20078463;-49,9556436;VIAS MUNICIPAIS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
1345;80504;1006730702;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-08-06 00:00:00;6;8;2023;2023/08;DOMINGO;15;TARDE;MARILIA;MARÍLIA;SP 333;341,1;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,29043929;-50,01169317;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;1;0;1;SINISTRO FATAL
1346;80504;1002343755;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-08-24 00:00:00;24;8;2022;2022/08;QUARTA;1;MADRUGADA;MARILIA;MARÍLIA;AVENIDA REPUBLICA;2457;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,20149417;-49,9545073;VIAS MUNICIPAIS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;1;0;0;0;0;0;0;1;SINISTRO FATAL
1627;80504;1052;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-01-31 00:00:00;31;1;2018;2018/01;QUARTA;0;MADRUGADA;MARILIA;MARÍLIA;SP 294;446,1;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,23161959;-49,92219911;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
1657;80504;1058;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-01-30 00:00:00;30;1;2015;2015/01;SEXTA;11;MANHA;MARILIA;MARÍLIA;RUA AZIZ ATALA;0;MUNICIPAL;PREFEITURA;PREFEITURA;NAO DISPONIVEL;-22,2262303;-49,93633631;VIAS MUNICIPAIS;0;0;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
1723;80504;1006957477;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-09-01 00:00:00;1;9;2023;2023/09;SEXTA;11;MANHA;MARILIA;MARÍLIA;AVENIDA SANCHES CIBANTOS;1;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,18780824;-49,96079061;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
