;id_sinistro;Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Hora do Sinistro;Municipio;Regiao Administrativa;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Tipo de registro
29;PM-683-6-2019-10-20;2019-10-20 00:00:00;20;10;2019;2019/10;-22,14718733;-49,95263209;00:15:00;MARILIA;Marilia;RODOVIA SP 333;323;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
106;PM-2587-6-2023-5-4;2023-05-04 00:00:00;4;5;2023;2023/05;-22,20509037;-49,95778555;05:37:00;MARILIA;Marilia;RUA BASSAN;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
130;PM-6674-6-2022-7-31;2022-07-31 00:00:00;31;7;2022;2022/07;-22,11872085;-49,93025972;03:40:00;MARILIA;Marilia;RODOVIA SP 333;319;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
203;PM-9790-6-2022-6-20;2022-06-20 00:00:00;20;6;2022;2022/06;-22,14493994;-49,96759301;14:45:10;MARILIA;Marilia;RUA JOAO CALIMANI;3033;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
220;PM-14773-6-2021-8-23;2021-08-23 00:00:00;23;8;2021;2021/08;-22,21771712;-49,94189344;18:33:00;MARILIA;Marilia;PRESIDENTE ROOSEVELT;10;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
317;PM-24463-6-2020-11-29;2020-11-29 00:00:00;29;11;2020;2020/11;-22,0859745;-49,89919376;21:20:00;MARILIA;Marilia;RODOVIA SP 333;314;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
390;PM-14531-6-2022-6-20;2022-06-20 00:00:00;20;6;2022;2022/06;-22,21850767;-49,98150347;19:25:00;MARILIA;Marilia;HERMES DA FONSECA;670;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
402;PM-3069-6-2024-5-23;2024-05-23 00:00:00;23;5;2024;2024/05;-22,1736928;-49,9716224;07:04:00;MARILIA;Marilia;AVENIDA REPUBLICA;6128;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
423;PM-19460-6-2021-9-11;2021-09-11 00:00:00;11;9;2021;2021/09;-22,23684208;-49,97871325;19:21:00;MARILIA;Marilia;AVENIDA MARIA FERNANDES CAVALARE;1770;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
614;PM-13991-6-2019-4-2;2019-04-02 00:00:00;2;4;2019;2019/04;-22,17381968;-49,97359702;18:23:00;MARILIA;Marilia;AVENIDA REPUBLICA;5960;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
859;PM-8676-6-2020-6-16;2020-06-16 00:00:00;16;6;2020;2020/06;-22,21684542;-49,95213217;16:31:06;MARILIA;Marilia;RUA QUINZE DE NOVEMBRO;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
918;PM-6163-6-2021-3-19;2021-03-19 00:00:00;19;3;2021;2021/03;-22,22906456;-49,9639643;10:57:21;MARILIA;Marilia;AVENIDA HIGINO MUZI FILHO;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
1077;PM-11100-6-2022-6-14;2022-06-14 00:00:00;14;6;2022;2022/06;-22,21222259;-49,95181862;17:30:00;MARILIA;Marilia;RUA QUATRO DE ABRIL;979;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
1133;PM-10287-6-2023-2-19;2023-02-19 00:00:00;19;2;2023;2023/02;-22,2630639;-49,92718951;11:43:00;MARILIA;Marilia;RUA MARIO BATAIOLA;501;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
1274;PM-9478-6-2023-7-15;2023-07-15 00:00:00;15;7;2023;2023/07;-22,24328117;-49,98004023;11:50:00;MARILIA;Marilia;ACESSO RODOVIA RACHIDE RAIES;333;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
1452;PM-5085-6-2020-5-28;2020-05-28 00:00:00;28;5;2020;2020/05;-22,15589534;-50,00503737;11:39:00;MARILIA;Marilia;RUA DEZESSEIS DE SETEMBRO;135;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
1525;PM-19737-6-2021-11-15;2021-11-15 00:00:00;15;11;2021;2021/11;-22,2630639;-49,92718951;20:57:00;MARILIA;Marilia;RUA MARIO BATAIOLA;501;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
1546;PM-4677-6-2024-6-7;2024-06-07 00:00:00;7;6;2024;2024/06;-22,2021772;-49,9642703;08:25:00;MARILIA;Marilia;SP294;452;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
